Tweet_ID,Hastag
1477082424077012992,#covid19
1477082424077012992,#publichealth
1477082424077012992,#covid
1477082424077012992,#omicron
1477082424077012992,#globalhealth
1477082426035687425,#abcn
1477082426132234241,#BKDK
1477082426161598464,#Covid
1477082426488852480,#WhereIsRon
1477082426488852480,#SmartNews
1477082426669252616,#Austria
1477082427440783363,#art
1477082427440783363,#artwork
1477082427440783363,#drawing
1477082427440783363,#painting
1477082427440783363,#paintings
1477082427440783363,#toxic
1477082428267192321,#COVID19
1477082428514603009,#CMUCare
1477082428514603009,#SayNo2Parties
1477082428514603009,#Together
1477082430305570816,#NewYear2021
1477082430305570816,#vaccinehope
1477082430305570816,#January
1477082431350087681,#AbbottFailedTexas
1477082434541871107,#AbbottFailedTexas
1477082434541871107,#GOPDeathCult
1477082440220876800,#covid19
1477082440220876800,#auspol
1477082440753684487,#COVID19
1477082440753684487,#GOPDeathCult
1477082441751961600,#COVID19
1477082441751961600,#VillavoSeVacuna
1477082442582446081,#COVID19
1477082442586636293,#CovidTesting
1477082442586636293,#BidenDisaster
1477082445950246917,#COV
1477082446101454856,#retrospectiva
1477082447250694145,#ThankYouForBeingAFriend♥️
1477082448710225929,#WhereIsRon
1477082451021377538,#BullsNation
1477082451138723842,#jeopardynerd
1477082452866834443,#FactsNotFear
1477082455689469953,#Raiders
1477082456628994053,#florona
1477082459808276485,#FursuitFriday
1477082461981061124,#COVID
1477082463348441093,#vaccines
1477082464216666113,#Pecresse
1477082464216666113,#Macron
1477082464216666113,#Covid
1477082466921951233,#SEL
1477082466921951233,#emotionalhealth
1477082468339441664,#cucitangan
1477082468339441664,#prokes
1477082468339441664,#ProkesCegahPandemi
1477082468339441664,#ProkesDisetiapAktifitas
1477082468339441664,#BersatuLawanCorona
1477082468339441664,#polrestabanan
1477082468800884737,#winterbreak
1477082468800884737,#COVID
1477082469463638016,#Covid
1477082469748789250,#gundam
1477082469933404163,#CancerFree
1477082472147943424,#COVID19
1477082472366157825,#wakeUp
1477082472366157825,#BigTenBeatTheBTeams
1477082473120948224,#abcn
1477082475293720578,#Shame
1477082478770851842,#NewYear2
1477082478838009856,#LGBFJB
1477082482512220164,#SEL
1477082482512220164,#emotionalhealth
1477082483363434496,#Enough
1477082483632050177,#Libra
1477082484932321283,#paidsickleave
1477082486068948999,#DatosAbiertos
1477082486068948999,#COVID19
1477082486148501504,#auspol
1477082486148501504,#nswpol
1477082488904519680,#BREAKING
1477082490145812482,#FreeLeonardPeltierNOW
1477082490405797890,#COVID19
1477082490984714240,#VoteThemAllOut2022
1477082490984714240,#Coward
1477082490984714240,#onpoli
1477082491538264073,#WheresRon
1477082492221992963,#COVID19
1477082492792360960,#USMNT
1477082493295767554,#Zangrillo
1477082495011143683,#WearYuhMask
1477082495011143683,#JISNews
1477082495011143683,#COVID19
1477082495011143683,#StayHome
1477082495330000897,#cdcsays
1477082497775198213,#DeathSantis
1477082498458734592,#NY
1477082498458734592,#Cuomo
1477082499117240320,#Mid
1477082502217060354,#londonfireworks
1477082502451900416,#cloud
1477082502451900416,#DigitalTransformation
1477082503177453574,#ont
1477082503202713601,#thisisfine
1477082505123487744,#Concord
1477082505404628994,#bbcn
1477082511112957952,#COVID19
1477082511117365253,#londonfireworks
1477082511155027969,#COVID19
1477082511646011393,#AbbottFailedTexas
1477082512799285250,#knitting
1477082515336798216,#COVID19
1477082515831762944,#AocMeltdown
1477082515831762944,#Hypocrite
1477082516422946819,#DeathSantis
1477082516422946819,#DeSantisMissing
1477082516422946819,#DeSantisFailedFlorida
1477082516422946819,#Dems4USA
1477082518851444737,#Editorial
1477082518851444737,#Tax
1477082518851444737,#Covid19
1477082518851444737,#Economy
1477082520382582786,#OkiCon
1477082520680239107,#covidnewyears
1477082520743477248,#cliptags
1477082522446020610,#covid19
1477082522949357568,#Intimidation
1477082522949357568,#Intimidation
1477082522949357568,#Intimidation
